id_cd;rua_cd;num_cd;bairro_cd;cep_cd;cidade_cd;estado_cd;pais_cd
1;Rodovia Presidente Dutra, Distrito, km 134;180;Eugênio de Melo;12247-004;São José dos Campos;SP;Brasil
2;Estrada Municipal Euclides Martins;2170;Bairro Industrial;14813-000;Gavião Peixoto;SP;Brasil
3;Av. Alcides Cagliari;2281;Res. Indaiá;18606-855;Botucatu;SP;Brasil
4;General Aviation Drive;1205;;32935;Melbourne;FL;USA
5;Parque Da Indústria Aeronáutica De Évora, Herdade De Pinheiro E Casa Branca Lt. A-I;1094;Horta Das Figueiras;7005-797 ;Évora;EV;Portugal
6;Rod. Floriano Rodrigues Pinheiro;333;Quiririm;12045-000;Taubaté;SP;Brasil
